Attempt,Algorithm,Length,Time,,,,,,,,,,
5,A*,12,5.00E-05,,,60,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
5,A*,13,0.00017,,,61,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
5,A*,14,0.00017,,,62,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
5,A*,15,3.00E-05,,,63,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
6,A*,3,0.00011,,,64,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
6,A*,4,7.00E-05,,,65,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
6,A*,5,0.00019,,,66,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
6,A*,6,0.00033,,,67,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
6,A*,7,0.00063,,,68,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
6,A*,8,6.00E-05,,,69,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
6,A*,9,0.00052,,,70,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
6,A*,10,0.00124,,,71,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
6,A*,11,6.00E-05,,,72,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
6,A*,12,0.0002,,,73,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
6,A*,13,0.00012,,,74,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
6,A*,14,0.00046,,,75,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
6,A*,15,0.00024,,,76,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
6,A*,16,4.00E-05,,,77,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
6,A*,17,0.00016,,,78,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
6,A*,18,6.00E-05,,,79,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
6,A*,19,4.00E-05,,,80,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
6,A*,20,6.00E-05,,,81,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
7,A*,3,8.00E-05,,,82,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
7,A*,4,0.00036,,,83,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
7,A*,5,0.00061,,,84,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
7,A*,6,3.00E-05,,,85,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
