Attempt,Algorithm,Length,Time,,,,,,,,,,
1,A*,3,6.00E-05,,,,,,,,,,
1,A*,4,0.0002,,,,,,,,,,
1,A*,5,0.0007,,,Length,A*,BFS,Dijkstra,,A*,BFS,Dijkstra
1,A*,6,0.00143,,,3,100.0%,100.0%,100.0%,,0.00014015,0.00009385,0.0001633
1,A*,7,0.0005,,,4,100.0%,100.0%,100.0%,,0.00039545,0.0004852,0.00097675
1,A*,8,0.00109,,,5,100.0%,100.0%,100.0%,,0.00049985,0.00057045,0.0011423
1,A*,9,0.00289,,,6,100.0%,100.0%,100.0%,,0.0005059,0.0005731,0.00106655
1,A*,10,0.00102,,,7,100.0%,100.0%,100.0%,,0.00057,0.0005769,0.001197
1,A*,11,0.00019,,,8,100.0%,100.0%,100.0%,,0.00056935,0.00056345,0.0011187
1,A*,12,0.00079,,,9,100.0%,100.0%,100.0%,,0.0005676,0.00057335,0.00108135
1,A*,13,0.00107,,,10,100.0%,100.0%,100.0%,,0.00062675,0.00062125,0.0010859
1,A*,14,0.00202,,,11,100.0%,99.5%,99.0%,,0.0005278,0.00060385,0.0011342
1,A*,15,0.0009,,,12,97.5%,99.5%,98.0%,,0.0005274,0.000593467,0.001114646
1,A*,16,0.00022,,,13,97.5%,97.0%,96.0%,,0.000582103,0.000591709,0.000997704
2,A*,3,8.00E-05,,,14,94.5%,94.5%,93.5%,,0.000663538,0.000610258,0.001038958
2,A*,4,0.00023,,,15,91.0%,91.0%,92.5%,,0.000556032,0.000588201,0.001013636
2,A*,5,6.00E-05,,,16,88.0%,86.0%,89.5%,,0.000537033,0.000618791,0.001090216
2,A*,6,0.00045,,,17,85.0%,83.0%,87.0%,,0.000569034,0.000600988,0.001009665
2,A*,7,0.0008,,,18,81.5%,78.5%,81.5%,,0.000580118,0.000600542,0.001029483
2,A*,8,0.00147,,,19,74.5%,73.0%,79.0%,,0.000668528,0.000666178,0.001118528
2,A*,9,0.00034,,,20,69.5%,68.0%,77.5%,,0.000595705,0.000477397,0.001142152
2,A*,10,0.00077,,,21,64.0%,62.0%,72.5%,,0.000628561,0.000553529,0.000911355
2,A*,11,0.00031,,,22,54.0%,57.0%,68.0%,,0.000598047,0.000497823,0.001022828
2,A*,12,0.00054,,,23,52.5%,53.0%,60.5%,,0.000772037,0.000543246,0.000988235
2,A*,13,0.00043,,,24,47.5%,45.5%,55.5%,,0.000717619,0.000581321,0.000877521
2,A*,14,0.00012,,,25,42.5%,42.0%,50.0%,,0.000575789,0.000495055,0.000799369
2,A*,15,0.00018,,,26,34.0%,34.5%,44.5%,,0.000592941,0.000564167,0.0008016
2,A*,16,0.00161,,,27,30.0%,29.5%,41.0%,,0.000636765,0.000485072,0.000728764
2,A*,17,0.00011,,,28,26.0%,27.5%,32.5%,,0.000443667,0.000440508,0.000808659
2,A*,18,6.00E-05,,,29,21.0%,21.5%,24.5%,,0.000410385,0.000457273,0.000707077
2,A*,19,0.00131,,,30,20.0%,17.0%,20.0%,,0.000533571,0.000395814,0.000634694
2,A*,20,0.00012,,,31,14.5%,12.5%,18.0%,,0.000361,0.000327059,0.00077525
2,A*,21,0.00218,,,32,12.0%,11.0%,13.5%,,0.000462414,0.0002808,0.000726389
2,A*,22,0.00077,,,33,9.5%,9.0%,11.0%,,0.000590833,0.000302727,0.000656667
