Attempt,Algorithm,Length,Time
5,A*,64,0.00182
5,A*,65,0.00114
5,A*,66,0.00094
5,A*,67,0.01034
5,A*,68,0.00153
5,A*,69,0.00382
5,A*,70,0.00766
5,A*,71,0.00053
5,A*,72,0.00024
5,A*,73,0.00389
5,A*,74,0.00176
5,A*,75,0.00914
5,A*,76,0.00535
5,A*,77,0.00035
5,A*,78,0.001
5,A*,79,0.00055
5,A*,80,0.00095
5,A*,81,0.00739
5,A*,82,0.00017
5,A*,83,0.0001
5,A*,84,0.00432
5,A*,85,0.00049
5,A*,86,0.00065
5,A*,87,0.00013
5,A*,88,0.00077
5,A*,89,3.00E-05
5,A*,90,0.00155
5,A*,91,4.00E-05
5,A*,92,0.00161
5,A*,93,0.00011
5,A*,94,0.00079
5,A*,95,0.00048
6,A*,3,0.00047
6,A*,4,0.00027
6,A*,5,0.00274
6,A*,6,0.0006
6,A*,7,0.0008
6,A*,8,0.00873
6,A*,9,0.00851
6,A*,10,0.00017
6,A*,11,0.00202
6,A*,12,0.00076
6,A*,13,0.00096
6,A*,14,0.00032
6,A*,15,0.00193
6,A*,16,0.00149
6,A*,17,4.00E-05
6,A*,18,0.00025
6,A*,19,0.00052
6,A*,20,0.00176
6,A*,21,0.00015
6,A*,22,0.00128
6,A*,23,0.00218
6,A*,24,8.00E-05
6,A*,25,0.00135
6,A*,26,0.00182
6,A*,27,0.00773
6,A*,28,0.00076
6,A*,29,0.0002
6,A*,30,0.01282
6,A*,31,0.00147
7,A*,3,0.00166
7,A*,4,7.00E-05
7,A*,5,0.00101
7,A*,6,0.00063
7,A*,7,0.00059
7,A*,8,0.00018
7,A*,9,0.00882
7,A*,10,0.01268
7,A*,11,0.00096
7,A*,12,0.00143
7,A*,13,0.00256
7,A*,14,0.00086
7,A*,15,0.00038
7,A*,16,0.00011
7,A*,17,0.01105
7,A*,18,0.00305
7,A*,19,9.00E-05
7,A*,20,0.00182
7,A*,21,0.00351
7,A*,22,0.0005
7,A*,23,0.00011
7,A*,24,0.00033
7,A*,25,0.00225
7,A*,26,0.00072
7,A*,27,0.00405
7,A*,28,0.00112
7,A*,29,0.00587
7,A*,30,0.00274
7,A*,31,0.00187
7,A*,32,0.00021
7,A*,33,0.00087
7,A*,34,0.00595
7,A*,35,0.00115
7,A*,36,0.00478
7,A*,37,0.00146
7,A*,38,0.00313
7,A*,39,0.00542
7,A*,40,0.00846
7,A*,41,0.00047
7,A*,42,0.00269
7,A*,43,0.00829
7,A*,44,0.00132
7,A*,45,0.00107
7,A*,46,0.00403
7,A*,47,0.00169
7,A*,48,0.01105
7,A*,49,0.00099
7,A*,50,0.0004
7,A*,51,0.00948
7,A*,52,0.00127
7,A*,53,0.00045
7,A*,54,0.01197
7,A*,55,0.00228
7,A*,56,0.00934
7,A*,57,0.00387
7,A*,58,0.00379
7,A*,59,0.00811
7,A*,60,0.02584
7,A*,61,0.00095
7,A*,62,0.04463
8,A*,3,8.00E-05
8,A*,4,0.00486
8,A*,5,0.01405
8,A*,6,0.00389
8,A*,7,0.0006
8,A*,8,0.00027
8,A*,9,0.00023
8,A*,10,0.00448
8,A*,11,0.00216
8,A*,12,0.00523
8,A*,13,0.00202
8,A*,14,0.00369
8,A*,15,0.00137
8,A*,16,0.00151
8,A*,17,0.00323
8,A*,18,0.00166
8,A*,19,9.00E-05
8,A*,20,0.00048
8,A*,21,0.00627
8,A*,22,0.00086
8,A*,23,0.00102
8,A*,24,7.00E-05
8,A*,25,0.00804
8,A*,26,0.00237
8,A*,27,0.01012
8,A*,28,0.00126
8,A*,29,0.0021
8,A*,30,0.00025
8,A*,31,0.01806
8,A*,32,0.00725
8,A*,33,0.00202
8,A*,34,0.00768
8,A*,35,0.00555
9,A*,3,0.00045
9,A*,4,0.01635
9,A*,5,0.00157
9,A*,6,0.00116
9,A*,7,0.00013
9,A*,8,0.00137
9,A*,9,0.00129
9,A*,10,0.00115
9,A*,11,0.00852
9,A*,12,0.00823
9,A*,13,0.00203
9,A*,14,0.002
9,A*,15,0.01005
9,A*,16,0.01455
9,A*,17,0.00165
9,A*,18,0.0054
9,A*,19,0.01237
9,A*,20,0.00633
9,A*,21,0.00093
9,A*,22,0.00246
9,A*,23,0.00506
9,A*,24,0.01388
9,A*,25,0.00181
9,A*,26,0.00397
9,A*,27,0.00069
9,A*,28,0.00023
9,A*,29,0.01975
9,A*,30,0.00374
9,A*,31,0.00118
9,A*,32,0.00791
9,A*,33,0.00015
9,A*,34,0.00878
9,A*,35,0.00027
9,A*,36,0.00789
9,A*,37,0.00052
9,A*,38,0.00138
9,A*,39,0.00341
9,A*,40,0.00865
9,A*,41,0.0108
9,A*,42,0.0185
9,A*,43,1.00E-04
9,A*,44,0.00069
9,A*,45,0.00664
9,A*,46,0.00021
9,A*,47,0.0063
9,A*,48,0.00084
9,A*,49,0.00258
9,A*,50,0.00155
9,A*,51,0.0038
9,A*,52,0.01151
9,A*,53,0.00014
9,A*,54,0.00351
9,A*,55,0.00013
9,A*,56,0.00925
9,A*,57,0.00192
9,A*,58,0.00087
9,A*,59,0.00102
9,A*,60,0.00067
9,A*,61,0.00072
9,A*,62,0.00042
9,A*,63,0.01635
10,A*,3,0.00122
10,A*,4,0.00649
10,A*,5,0.00054
10,A*,6,0.00122
10,A*,7,0.00995
10,A*,8,0.00102
10,A*,9,0.00087
10,A*,10,0.00509
10,A*,11,0.00326
10,A*,12,0.00029
10,A*,13,0.00177
10,A*,14,0.00426
10,A*,15,0.00044
10,A*,16,0.00316
10,A*,17,0.00388
10,A*,18,0.00252
10,A*,19,0.00138
10,A*,20,0.00033
10,A*,21,0.00334
10,A*,22,0.00512
10,A*,23,0.00253
10,A*,24,0.00116
10,A*,25,0.00211
10,A*,26,0.00139
10,A*,27,0.00264
10,A*,28,0.00017
10,A*,29,0.00054
10,A*,30,0.00148
10,A*,31,0.00074
10,A*,32,0.00139
10,A*,33,0.00203
10,A*,34,0.00673
10,A*,35,0.01431
11,A*,3,0.00097
11,A*,4,0.00427
11,A*,5,0.00424
11,A*,6,0.00174
11,A*,7,0.00287
11,A*,8,0.00342
11,A*,9,0.00019
11,A*,10,0.00521
11,A*,11,0.00516
11,A*,12,0.006
11,A*,13,0.00059
11,A*,14,0.00049
11,A*,15,0.00198
11,A*,16,0.00194
11,A*,17,0.00014
11,A*,18,0.00129
11,A*,19,0.00598
11,A*,20,0.00143
11,A*,21,0.00352
11,A*,22,0.00428
11,A*,23,0.00294
11,A*,24,3.00E-05
11,A*,25,0.00502
11,A*,26,0.00032
11,A*,27,0.00487
11,A*,28,0.00881
11,A*,29,0.00019
11,A*,30,0.00639
11,A*,31,0.00096
11,A*,32,0.01153
11,A*,33,0.00427
11,A*,34,0.00444
11,A*,35,0.03649
11,A*,36,0.00026
11,A*,37,0.00408
12,A*,3,0.00063
12,A*,4,0.00239
12,A*,5,0.00082
12,A*,6,0.00077
12,A*,7,0.00173
12,A*,8,0.00029
12,A*,9,0.0113
12,A*,10,0.00052
12,A*,11,0.00111
12,A*,12,0.00124
12,A*,13,0.0006
12,A*,14,0.00207
12,A*,15,0.00075
12,A*,16,0.00191
12,A*,17,0.00289
12,A*,18,0.00144
12,A*,19,0.00434
12,A*,20,0.00707
12,A*,21,0.00027
12,A*,22,0.00199
12,A*,23,0.0034
12,A*,24,0.00061
12,A*,25,0.00664
12,A*,26,0.00118
12,A*,27,0.00038
12,A*,28,0.00383
12,A*,29,0.00167
12,A*,30,0.0004
12,A*,31,0.00661
12,A*,32,0.00139
12,A*,33,0.00277
12,A*,34,0.0005
12,A*,35,0.00396
12,A*,36,0.00234
12,A*,37,0.01031
12,A*,38,0.00044
12,A*,39,0.00467
12,A*,40,0.00267
12,A*,41,0.00215
12,A*,42,0.00041
12,A*,43,0.00217
13,A*,3,0.00035
13,A*,4,0.00307
13,A*,5,0.00026
13,A*,6,0.00193
13,A*,7,0.00157
13,A*,8,0.00951
13,A*,9,0.0001
13,A*,10,0.00043
13,A*,11,0.00036
13,A*,12,0.00239
13,A*,13,0.00086
13,A*,14,0.00492
13,A*,15,0.00278
13,A*,16,0.00167
13,A*,17,0.00029
13,A*,18,0.00134
13,A*,19,0.0053
13,A*,20,0.00226
13,A*,21,0.00246
13,A*,22,0.00235
13,A*,23,0.00325
13,A*,24,0.0003
13,A*,25,0.00206
13,A*,26,0.00175
13,A*,27,0.00125
13,A*,28,0.00083
13,A*,29,0.00025
13,A*,30,0.00218
13,A*,31,0.00358
13,A*,32,0.00816
13,A*,33,0.00446
13,A*,34,0.00072
13,A*,35,0.00213
13,A*,36,0.00156
13,A*,37,0.00341
14,A*,3,0.00032
14,A*,4,0.00403
14,A*,5,3.00E-05
14,A*,6,0.00321
14,A*,7,0.00229
14,A*,8,0.00141
14,A*,9,0.00132
14,A*,10,0.00444
14,A*,11,0.00084
14,A*,12,0.00133
14,A*,13,0.00121
14,A*,14,0.00339
14,A*,15,0.00244
14,A*,16,0.0002
14,A*,17,0.0011
14,A*,18,0.01241
14,A*,19,0.00138
14,A*,20,0.00033
14,A*,21,0.00029
14,A*,22,0.0026
14,A*,23,0.00151
14,A*,24,0.00096
14,A*,25,0.0033
14,A*,26,0.01559
14,A*,27,0.00455
14,A*,28,0.00026
14,A*,29,0.00167
14,A*,30,0.00231
14,A*,31,0.00088
14,A*,32,0.00397
14,A*,33,0.00061
14,A*,34,0.00096
14,A*,35,0.00512
14,A*,36,0.00048
14,A*,37,0.00254
14,A*,38,0.00545
14,A*,39,0.00905
14,A*,40,0.0097
14,A*,41,0.00538
14,A*,42,0.00205
