Attempt,Algorithm,Length,Time,,,,,,,,,,
1,A*,3,6.00E-05,,,,,,,,,,
1,A*,4,0.00017,,,,,,,,,,
1,A*,5,0.00065,,,Length,A*,BFS,Dijkstra,,A*,BFS,Dijkstra
1,A*,6,0.00156,,,3,100.0%,100.0%,100.0%,,0.00023395,0.00013915,0.0002377
1,A*,7,0.00224,,,4,100.0%,100.0%,100.0%,,0.0010117,0.00130475,0.0025797
1,A*,8,0.00313,,,5,100.0%,100.0%,100.0%,,0.0009632,0.00132735,0.00277475
1,A*,9,0.00213,,,6,100.0%,100.0%,100.0%,,0.0008566,0.00141405,0.0023969
1,A*,10,0.00291,,,7,100.0%,100.0%,100.0%,,0.0009072,0.00138325,0.00247455
1,A*,11,0.00098,,,8,100.0%,100.0%,100.0%,,0.00124025,0.00122275,0.0024363
1,A*,12,0.00019,,,9,100.0%,100.0%,100.0%,,0.00100255,0.0012405,0.0024989
1,A*,13,0.00048,,,10,100.0%,100.0%,100.0%,,0.0009966,0.00120795,0.0024639
1,A*,14,0.00145,,,11,99.5%,100.0%,100.0%,,0.0009586,0.00124335,0.00253305
1,A*,15,0.00052,,,12,99.5%,99.5%,100.0%,,0.000920754,0.001248,0.0026014
1,A*,16,0.00088,,,13,99.5%,99.0%,99.5%,,0.000967638,0.001393869,0.0026671
1,A*,17,0.00012,,,14,99.5%,98.5%,99.5%,,0.001041357,0.00128697,0.00254608
1,A*,18,0.00266,,,15,99.0%,97.5%,99.0%,,0.001109347,0.001436497,0.002713417
1,A*,19,0.00133,,,16,97.0%,96.5%,99.0%,,0.001013939,0.001376462,0.002404192
1,A*,20,0.00014,,,17,96.0%,94.5%,99.0%,,0.001049639,0.001165026,0.002410152
1,A*,21,0.00115,,,18,94.5%,94.0%,97.0%,,0.001103594,0.001189894,0.002678687
1,A*,22,0.00055,,,19,94.5%,93.0%,96.0%,,0.001144603,0.001209415,0.002341959
1,A*,23,0.00045,,,20,92.5%,91.0%,95.0%,,0.001112593,0.001165645,0.002649375
1,A*,24,0.0011,,,21,89.5%,89.5%,94.5%,,0.00122827,0.001511484,0.002688526
1,A*,25,0.00501,,,22,87.0%,86.5%,93.5%,,0.000862905,0.001370782,0.002265026
1,A*,26,0.00087,,,23,84.0%,84.0%,91.5%,,0.001088563,0.001228613,0.002345668
1,A*,27,0.00052,,,24,80.5%,82.5%,89.5%,,0.001276607,0.001185952,0.002420984
2,A*,3,8.00E-05,,,25,76.5%,78.0%,87.5%,,0.00102677,0.001264303,0.002476816
2,A*,4,0.0006,,,26,71.0%,74.5%,84.5%,,0.001333856,0.001308333,0.002592229
2,A*,5,0.0013,,,27,67.5%,72.5%,82.5%,,0.000999648,0.001314027,0.002474793
2,A*,6,0.00065,,,28,61.5%,70.5%,79.0%,,0.001148889,0.001347034,0.00253103
2,A*,7,0.00106,,,29,57.0%,66.0%,74.5%,,0.001085528,0.001334965,0.002551456
2,A*,8,0.00188,,,30,54.5%,63.5%,71.5%,,0.001184825,0.00133303,0.002534631
2,A*,9,0.00273,,,31,51.0%,60.5%,66.5%,,0.001150734,0.001497008,0.002681748
2,A*,10,0.00101,,,32,46.0%,54.5%,64.0%,,0.001337549,0.00148157,0.002123158
2,A*,11,0.00174,,,33,41.5%,52.0%,61.0%,,0.001308043,0.001155138,0.002402422
2,A*,12,0.00031,,,34,37.0%,48.0%,55.0%,,0.001218554,0.0010675,0.002184426
2,A*,13,0.00147,,,35,33.0%,44.5%,53.0%,,0.00104527,0.001177708,0.002231364
2,A*,14,0.00136,,,36,28.5%,39.0%,47.5%,,0.001625,0.001359888,0.0025
2,A*,15,0.00027,,,37,25.0%,34.0%,44.0%,,0.001091228,0.00098641,0.002250211
2,A*,16,0.00026,,,38,21.5%,29.5%,42.0%,,0.001085,0.001275294,0.00271125
2,A*,17,0.00076,,,39,19.5%,27.0%,39.0%,,0.000957674,0.001202203,0.002084167
2,A*,18,0.00034,,,40,17.5%,25.0%,35.5%,,0.00077,0.001037037,0.001954231
2,A*,19,0.00059,,,41,15.5%,22.0%,29.0%,,0.001276571,0.0010196,0.001935352
2,A*,20,0.00032,,,42,11.5%,19.0%,24.0%,,0.000696129,0.000839773,0.001579483
2,A*,21,0.00212,,,43,9.0%,16.0%,21.0%,,0.001624783,0.001538421,0.002820833
2,A*,22,0.00019,,,44,7.5%,14.5%,17.0%,,0.000846111,0.00105125,0.001969524
2,A*,23,0.0023,,,45,7.5%,13.0%,15.5%,,0.000997333,0.001078276,0.001442941
2,A*,24,0.00082,,,46,7.0%,10.5%,14.0%,,0.000866,0.000901923,0.001824839
2,A*,25,0.00017,,,47,6.0%,9.0%,13.5%,,0.001769286,0.000985714,0.002121786
2,A*,26,0.00066,,,48,6.0%,7.5%,12.5%,,0.000929167,0.00091,0.001626667
2,A*,27,0.0004,,,49,4.5%,6.0%,10.0%,,0.000905833,0.001244,0.001314
2,A*,28,0.00401,,,50,4.0%,5.5%,7.5%,,0.000922222,0.000761667,0.0012675
2,A*,29,0.00124,,,51,3.5%,4.5%,5.5%,,0.00068625,0.000564545,0.001092
3,A*,3,0.00014,,,52,2.5%,4.0%,5.0%,,0.000818571,0.001967778,0.001803636
3,A*,4,0.00045,,,53,2.0%,3.0%,4.0%,,0.000734,0.00053,0.001701
3,A*,5,0.0009,,,54,2.0%,2.5%,3.0%,,0.0013075,0.00053,0.00102125
3,A*,6,0.00038,,,55,2.0%,2.0%,2.5%,,0.000565,0.002072,0.002448333
3,A*,7,0.00022,,,56,2.0%,0.0%,1.5%,,0.0013225,0.0006275,0.00178
3,A*,8,0.00082,,,57,1.5%,0.0%,1.5%,,0.0006375,#DIV/0!,0.00177
3,A*,9,7.00E-05,,,58,1.5%,0.0%,1.5%,,0.000663333,#DIV/0!,0.00167
3,A*,10,0.00254,,,59,1.0%,0.0%,1.5%,,0.00026,#DIV/0!,0.000996667
3,A*,11,0.00017,,,60,0.5%,0.0%,1.0%,,0.000615,#DIV/0!,0.000896667
3,A*,12,0.00056,,,61,0.0%,0.0%,1.0%,,0.00048,#DIV/0!,0.00085
3,A*,13,0.00015,,,62,0.0%,0.0%,1.0%,,#DIV/0!,#DIV/0!,0.000265
3,A*,14,0.00081,,,63,0.0%,0.0%,1.0%,,#DIV/0!,#DIV/0!,0.000545
3,A*,15,0.00202,,,64,0.0%,0.0%,0.5%,,#DIV/0!,#DIV/0!,0.0002
3,A*,16,0.00069,,,65,0.0%,0.0%,0.5%,,#DIV/0!,#DIV/0!,0.00258
3,A*,17,0.00027,,,66,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,0.00299
3,A*,18,0.00073,,,67,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
3,A*,19,0.00236,,,68,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
3,A*,20,0.00159,,,69,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
3,A*,21,0.00093,,,70,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
3,A*,22,0.00019,,,71,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
3,A*,23,0.00093,,,72,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
3,A*,24,0.0003,,,73,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
3,A*,25,0.00015,,,74,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
3,A*,26,0.00114,,,75,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
3,A*,27,0.00053,,,76,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
3,A*,28,0.00094,,,77,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
3,A*,29,0.00043,,,78,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
3,A*,30,0.00021,,,79,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
3,A*,31,0.00061,,,80,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
3,A*,32,0.00143,,,81,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
3,A*,33,0.00113,,,82,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
3,A*,34,0.00059,,,83,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
4,A*,3,0.00021,,,84,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
4,A*,4,5.00E-05,,,85,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
4,A*,5,0.0001,,,86,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
4,A*,6,0.0016,,,87,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
4,A*,7,0.00257,,,88,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
4,A*,8,0.0018,,,89,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
4,A*,9,0.00086,,,90,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
4,A*,10,0.00162,,,91,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
4,A*,11,0.00047,,,92,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
4,A*,12,0.00075,,,93,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
4,A*,13,0.00059,,,94,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
4,A*,14,0.00155,,,95,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
4,A*,15,0.00269,,,96,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
4,A*,16,0.00218,,,97,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
4,A*,17,0.00142,,,98,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
4,A*,18,0.00049,,,99,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
4,A*,19,0.0005,,,100,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
4,A*,20,0.00071,,,101,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
4,A*,21,0.00047,,,102,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
4,A*,22,0.003,,,103,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
4,A*,23,0.00027,,,104,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
4,A*,24,0.00184,,,105,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
4,A*,25,0.00046,,,,,,,,,,
4,A*,26,0.00119,,,,,,,,,,
4,A*,27,0.00054,,,,,,,,,,
4,A*,28,0.00245,,,,,,,,,,
4,A*,29,0.00036,,,,,,,,,,
4,A*,30,0.00128,,,,,,,,,,
4,A*,31,0.00051,,,,,,,,,,
4,A*,32,0.00018,,,,,,,,,,
4,A*,33,0.00122,,,,,,,,,,
4,A*,34,0.00082,,,,,,,,,,
4,A*,35,0.00028,,,,,,,,,,
4,A*,36,0.00068,,,,,,,,,,
4,A*,37,0.00274,,,,,,,,,,
4,A*,38,0.00048,,,,,,,,,,
4,A*,39,6.00E-05,,,,,,,,,,
5,A*,3,0.00029,,,,,,,,,,
5,A*,4,0.00222,,,,,,,,,,
5,A*,5,0.00037,,,,,,,,,,
5,A*,6,7.00E-05,,,,,,,,,,
5,A*,7,0.00172,,,,,,,,,,
5,A*,8,0.00112,,,,,,,,,,
5,A*,9,0.00103,,,,,,,,,,
5,A*,10,0.00015,,,,,,,,,,
5,A*,11,0.0001,,,,,,,,,,
5,A*,12,0.00082,,,,,,,,,,
5,A*,13,0.00061,,,,,,,,,,
5,A*,14,1.00E-04,,,,,,,,,,
5,A*,15,0.00055,,,,,,,,,,
5,A*,16,0.0001,,,,,,,,,,
5,A*,17,0.00025,,,,,,,,,,
5,A*,18,9.00E-05,,,,,,,,,,
6,A*,3,6.00E-05,,,,,,,,,,
6,A*,4,0.00053,,,,,,,,,,
6,A*,5,0.00046,,,,,,,,,,
6,A*,6,0.00019,,,,,,,,,,
6,A*,7,0.0005,,,,,,,,,,
6,A*,8,0.00073,,,,,,,,,,
6,A*,9,0.0001,,,,,,,,,,
6,A*,10,0.00127,,,,,,,,,,
6,A*,11,0.00152,,,,,,,,,,
6,A*,12,0.00236,,,,,,,,,,
6,A*,13,0.0003,,,,,,,,,,
6,A*,14,0.00149,,,,,,,,,,
6,A*,15,5.00E-05,,,,,,,,,,
6,A*,16,0.00012,,,,,,,,,,
6,A*,17,0.00092,,,,,,,,,,
6,A*,18,0.00106,,,,,,,,,,
6,A*,19,0.00016,,,,,,,,,,
6,A*,20,0.00137,,,,,,,,,,
7,A*,3,0.00041,,,,,,,,,,
7,A*,4,0.00019,,,,,,,,,,
7,A*,5,0.00096,,,,,,,,,,
7,A*,6,0.00017,,,,,,,,,,
7,A*,7,0.00052,,,,,,,,,,
7,A*,8,0.00034,,,,,,,,,,
7,A*,9,0.00091,,,,,,,,,,
7,A*,10,0.00099,,,,,,,,,,
7,A*,11,0.00169,,,,,,,,,,
7,A*,12,0.00055,,,,,,,,,,
7,A*,13,0.00232,,,,,,,,,,
7,A*,14,0.00115,,,,,,,,,,
7,A*,15,0.00015,,,,,,,,,,
7,A*,16,1.00E-05,,,,,,,,,,
7,A*,17,0.00215,,,,,,,,,,
7,A*,18,0.00362,,,,,,,,,,
7,A*,19,0.00018,,,,,,,,,,
7,A*,20,0.00211,,,,,,,,,,
7,A*,21,0.00062,,,,,,,,,,
7,A*,22,0.00014,,,,,,,,,,
7,A*,23,0.00012,,,,,,,,,,
7,A*,24,0.0055,,,,,,,,,,
7,A*,25,0.00189,,,,,,,,,,
7,A*,26,0.00012,,,,,,,,,,
7,A*,27,4.00E-05,,,,,,,,,,
7,A*,28,0.00209,,,,,,,,,,
7,A*,29,0.00048,,,,,,,,,,
7,A*,30,0.00027,,,,,,,,,,
7,A*,31,0.00056,,,,,,,,,,
7,A*,32,0.00087,,,,,,,,,,
7,A*,33,0.00168,,,,,,,,,,
8,A*,3,0.00064,,,,,,,,,,
8,A*,4,0.00096,,,,,,,,,,
8,A*,5,0.00011,,,,,,,,,,
8,A*,6,0.00038,,,,,,,,,,
8,A*,7,0.00011,,,,,,,,,,
8,A*,8,0.0006,,,,,,,,,,
8,A*,9,0.00044,,,,,,,,,,
8,A*,10,0.00069,,,,,,,,,,
8,A*,11,0.00011,,,,,,,,,,
8,A*,12,0.00045,,,,,,,,,,
8,A*,13,0.00037,,,,,,,,,,
8,A*,14,6.00E-05,,,,,,,,,,
8,A*,15,0.00014,,,,,,,,,,
8,A*,16,0.00164,,,,,,,,,,
8,A*,17,0.00068,,,,,,,,,,
8,A*,18,0.00099,,,,,,,,,,
8,A*,19,0.00099,,,,,,,,,,
8,A*,20,0.002,,,,,,,,,,
8,A*,21,0.00069,,,,,,,,,,
8,A*,22,0.00149,,,,,,,,,,
8,A*,23,7.00E-05,,,,,,,,,,
8,A*,24,0.00016,,,,,,,,,,
8,A*,25,0.00095,,,,,,,,,,
8,A*,26,0.00019,,,,,,,,,,
8,A*,27,0.00036,,,,,,,,,,
8,A*,28,0.00125,,,,,,,,,,
8,A*,29,0.00243,,,,,,,,,,
8,A*,30,0.00067,,,,,,,,,,
8,A*,31,0.00169,,,,,,,,,,
8,A*,32,0.00016,,,,,,,,,,
9,A*,3,0.00034,,,,,,,,,,
9,A*,4,0.00049,,,,,,,,,,
9,A*,5,5.00E-05,,,,,,,,,,
9,A*,6,6.00E-05,,,,,,,,,,
9,A*,7,0.0005,,,,,,,,,,
9,A*,8,0.00025,,,,,,,,,,
9,A*,9,0.00142,,,,,,,,,,
9,A*,10,0.00371,,,,,,,,,,
9,A*,11,0.00192,,,,,,,,,,
9,A*,12,0.00052,,,,,,,,,,
9,A*,13,0.00027,,,,,,,,,,
9,A*,14,0.0008,,,,,,,,,,
9,A*,15,0.00195,,,,,,,,,,
9,A*,16,0.0005,,,,,,,,,,
9,A*,17,0.0005,,,,,,,,,,
9,A*,18,0.00055,,,,,,,,,,
9,A*,19,4.00E-05,,,,,,,,,,
9,A*,20,0.00088,,,,,,,,,,
9,A*,21,0.00192,,,,,,,,,,
9,A*,22,0.00025,,,,,,,,,,
9,A*,23,5.00E-05,,,,,,,,,,
