Attempt,Algorithm,Length,Time,,,,,,,,,,
10,A*,3,0.00014,,,,,,,,,,
10,A*,4,0.00034,,,,,,,,,,
10,A*,5,0.00096,,,,,,,,,,
10,A*,6,0.00055,,,,,,,,,,
10,A*,7,0.00164,,,,,,,,,,
10,A*,8,0.00111,,,,,,,,,,
10,A*,9,0.00051,,,,,,,,,,
10,A*,10,0.00017,,,,,,,,,,
10,A*,11,0.00165,,,,,,,,,,
10,A*,12,0.00037,,,,,,,,,,
10,A*,13,0.00082,,,,,,,,,,
10,A*,14,0.00011,,,,,,,,,,
10,A*,15,9.00E-05,,,,,,,,,,
10,A*,16,4.00E-05,,,,,,,,,,
11,A*,3,8.00E-05,,,,,,,,,,
11,A*,4,0.00047,,,,,,,,,,
11,A*,5,0.00089,,,,,,,,,,
11,A*,6,0.00025,,,,,,,,,,
11,A*,7,0.00022,,,,,,,,,,
11,A*,8,0.0003,,,,,,,,,,
11,A*,9,0.00017,,,,,,,,,,
11,A*,10,0.00238,,,,,,,,,,
11,A*,11,0.00051,,,,,,,,,,
11,A*,12,0.0001,,,,,,,,,,
11,A*,13,0.0005,,,,,,,,,,
11,A*,14,0.00236,,,,,,,,,,
11,A*,15,0.00245,,,,,,,,,,
11,A*,16,0.00031,,,,,,,,,,
11,A*,17,0.00011,,,,,,,,,,
11,A*,18,0.00128,,,,,,,,,,
11,A*,19,0.00154,,,,,,,,,,
11,A*,20,0.00316,,,,,,,,,,
12,A*,3,0.0005,,,,,,,,,,
12,A*,4,0.00071,,,,,,,,,,
12,A*,5,0.00077,,,,,,,,,,
12,A*,6,0.00023,,,,,,,,,,
12,A*,7,0.00036,,,,,,,,,,
12,A*,8,0.0049,,,,,,,,,,
12,A*,9,0.00034,,,,,,,,,,
12,A*,10,0.00114,,,,,,,,,,
12,A*,11,0.00049,,,,,,,,,,
12,A*,12,0.00155,,,,,,,,,,
12,A*,13,0.00017,,,,,,,,,,
12,A*,14,0.00071,,,,,,,,,,
12,A*,15,0.00092,,,,,,,,,,
12,A*,16,0.0008,,,,,,,,,,
12,A*,17,0.00087,,,,,,,,,,
12,A*,18,0.00256,,,,,,,,,,
12,A*,19,0.00257,,,,,,,,,,
12,A*,20,0.00226,,,,,,,,,,
12,A*,21,0.00116,,,,,,,,,,
12,A*,22,0.00093,,,,,,,,,,
12,A*,23,0.00062,,,,,,,,,,
12,A*,24,0.00112,,,,,,,,,,
12,A*,25,0.00352,,,,,,,,,,
12,A*,26,0.00223,,,,,,,,,,
12,A*,27,3.00E-05,,,,,,,,,,
12,A*,28,0.00276,,,,,,,,,,
12,A*,29,0.00013,,,,,,,,,,
12,A*,30,0.0001,,,,,,,,,,
12,A*,31,0.0011,,,,,,,,,,
12,A*,32,0.0048,,,,,,,,,,
13,A*,3,0.00048,,,,,,,,,,
13,A*,4,6.00E-05,,,,,,,,,,
13,A*,5,0.0008,,,,,,,,,,
13,A*,6,0.00024,,,,,,,,,,
13,A*,7,0.00246,,,,,,,,,,
13,A*,8,0.00059,,,,,,,,,,
13,A*,9,0.00212,,,,,,,,,,
13,A*,10,0.00059,,,,,,,,,,
13,A*,11,0.00057,,,,,,,,,,
13,A*,12,0.00124,,,,,,,,,,
13,A*,13,0.00318,,,,,,,,,,
13,A*,14,0.00038,,,,,,,,,,
13,A*,15,0.00061,,,,,,,,,,
13,A*,16,3.00E-05,,,,,,,,,,
13,A*,17,0.00285,,,,,,,,,,
13,A*,18,0.00041,,,,,,,,,,
13,A*,19,0.00049,,,,,,,,,,
13,A*,20,0.00161,,,,,,,,,,
13,A*,21,0.00085,,,,,,,,,,
13,A*,22,0.00279,,,,,,,,,,
13,A*,23,0.00067,,,,,,,,,,
13,A*,24,0.0027,,,,,,,,,,
13,A*,25,0.00092,,,,,,,,,,
13,A*,26,0.00156,,,,,,,,,,
13,A*,27,0.00015,,,,,,,,,,
13,A*,28,1.00E-05,,,,,,,,,,
13,A*,29,0.00037,,,,,,,,,,
13,A*,30,0.00041,,,,,,,,,,
13,A*,31,0.00666,,,,,,,,,,
13,A*,32,0.00017,,,,,,,,,,
13,A*,33,0.0005,,,,,,,,,,
13,A*,34,0.00193,,,,,,,,,,
13,A*,35,0.0005,,,,,,,,,,
13,A*,36,0.00151,,,,,,,,,,
13,A*,37,0.0068,,,,,,,,,,
13,A*,38,5.00E-05,,,,,,,,,,
14,A*,3,7.00E-05,,,,,,,,,,
14,A*,4,0.00024,,,,,,,,,,
14,A*,5,0.00091,,,,,,,,,,
14,A*,6,0.00069,,,,,,,,,,
14,A*,7,0.00053,,,,,,,,,,
14,A*,8,0.00012,,,,,,,,,,
14,A*,9,0.00033,,,,,,,,,,
14,A*,10,0.00054,,,,,,,,,,
14,A*,11,0.00068,,,,,,,,,,
14,A*,12,0.00141,,,,,,,,,,
14,A*,13,0.00052,,,,,,,,,,
14,A*,14,0.0023,,,,,,,,,,
14,A*,15,0.00013,,,,,,,,,,
14,A*,16,0.00198,,,,,,,,,,
14,A*,17,0.00013,,,,,,,,,,
14,A*,18,0.00299,,,,,,,,,,
14,A*,19,0.00152,,,,,,,,,,
14,A*,20,0.00148,,,,,,,,,,
14,A*,21,0.00026,,,,,,,,,,
14,A*,22,0.00017,,,,,,,,,,
14,A*,23,0.00048,,,,,,,,,,
14,A*,24,0.00074,,,,,,,,,,
14,A*,25,0.00032,,,,,,,,,,
14,A*,26,0.00101,,,,,,,,,,
14,A*,27,0.00027,,,,,,,,,,
14,A*,28,0.00014,,,,,,,,,,
14,A*,29,0.0001,,,,,,,,,,
15,A*,3,7.00E-05,,,,,,,,,,
15,A*,4,0.00127,,,,,,,,,,
15,A*,5,0.00018,,,,,,,,,,
15,A*,6,0.00013,,,,,,,,,,
15,A*,7,0.0001,,,,,,,,,,
15,A*,8,0.00054,,,,,,,,,,
15,A*,9,0.00016,,,,,,,,,,
15,A*,10,0.00036,,,,,,,,,,
15,A*,11,0.00027,,,,,,,,,,
15,A*,12,0.0012,,,,,,,,,,
15,A*,13,0.00272,,,,,,,,,,
15,A*,14,0.00015,,,,,,,,,,
15,A*,15,0.0005,,,,,,,,,,
15,A*,16,0.00087,,,,,,,,,,
15,A*,17,0.00071,,,,,,,,,,
15,A*,18,0.00012,,,,,,,,,,
15,A*,19,0.00224,,,,,,,,,,
15,A*,20,0.00016,,,,,,,,,,
15,A*,21,0.00376,,,,,,,,,,
15,A*,22,0.00059,,,,,,,,,,
15,A*,23,0.00182,,,,,,,,,,
15,A*,24,0.00049,,,,,,,,,,
15,A*,25,0.00311,,,,,,,,,,
15,A*,26,0.00041,,,,,,,,,,
15,A*,27,0.00266,,,,,,,,,,
15,A*,28,0.00067,,,,,,,,,,
15,A*,29,0.00027,,,,,,,,,,
15,A*,30,0.00028,,,,,,,,,,
15,A*,31,0.00377,,,,,,,,,,
15,A*,32,0.00022,,,,,,,,,,
15,A*,33,0.00591,,,,,,,,,,
15,A*,34,0.00075,,,,,,,,,,
15,A*,35,0.00054,,,,,,,,,,
15,A*,36,0.00131,,,,,,,,,,
15,A*,37,0.00029,,,,,,,,,,
15,A*,38,0.00722,,,,,,,,,,
15,A*,39,0.00015,,,,,,,,,,
15,A*,40,0.0015,,,,,,,,,,
15,A*,41,0.0004,,,,,,,,,,
15,A*,42,0.00115,,,,,,,,,,
15,A*,43,5.00E-05,,,,,,,,,,
15,A*,44,0.00029,,,,,,,,,,
15,A*,45,0.00039,,,,,,,,,,
15,A*,46,0.00022,,,,,,,,,,
16,A*,3,0.00013,,,,,,,,,,
16,A*,4,0.00033,,,,,,,,,,
16,A*,5,0.00017,,,,,,,,,,
16,A*,6,0.00042,,,,,,,,,,
16,A*,7,0.00059,,,,,,,,,,
16,A*,8,0.00113,,,,,,,,,,
16,A*,9,0.00069,,,,,,,,,,
16,A*,10,0.00107,,,,,,,,,,
16,A*,11,0.00052,,,,,,,,,,
16,A*,12,0.0018,,,,,,,,,,
16,A*,13,0.00177,,,,,,,,,,
16,A*,14,0.00042,,,,,,,,,,
16,A*,15,0.00173,,,,,,,,,,
16,A*,16,0.00079,,,,,,,,,,
16,A*,17,0.00017,,,,,,,,,,
16,A*,18,0.00365,,,,,,,,,,
16,A*,19,0.00033,,,,,,,,,,
16,A*,20,0.00052,,,,,,,,,,
16,A*,21,0.00196,,,,,,,,,,
16,A*,22,0.00019,,,,,,,,,,
16,A*,23,0.00125,,,,,,,,,,
16,A*,24,0.00235,,,,,,,,,,
16,A*,25,0.00026,,,,,,,,,,
16,A*,26,8.00E-05,,,,,,,,,,
17,A*,3,6.00E-05,,,,,,,,,,
17,A*,4,0.00069,,,,,,,,,,
17,A*,5,0.00227,,,,,,,,,,
17,A*,6,5.00E-05,,,,,,,,,,
17,A*,7,9.00E-05,,,,,,,,,,
17,A*,8,0.00532,,,,,,,,,,
17,A*,9,0.0009,,,,,,,,,,
17,A*,10,0.00106,,,,,,,,,,
17,A*,11,0.00078,,,,,,,,,,
17,A*,12,0.00102,,,,,,,,,,
17,A*,13,0.00104,,,,,,,,,,
17,A*,14,0.00092,,,,,,,,,,
17,A*,15,0.00016,,,,,,,,,,
17,A*,16,0.00016,,,,,,,,,,
17,A*,17,0.00036,,,,,,,,,,
17,A*,18,0.00094,,,,,,,,,,
17,A*,19,0.00015,,,,,,,,,,
17,A*,20,0.00392,,,,,,,,,,
17,A*,21,0.00497,,,,,,,,,,
17,A*,22,0.00053,,,,,,,,,,
17,A*,23,0.00214,,,,,,,,,,
17,A*,24,0.00027,,,,,,,,,,
17,A*,25,0.00058,,,,,,,,,,
17,A*,26,0.00195,,,,,,,,,,
18,A*,3,0.00052,,,,,,,,,,
18,A*,4,7.00E-05,,,,,,,,,,
18,A*,5,0.0002,,,,,,,,,,
18,A*,6,0.00064,,,,,,,,,,
18,A*,7,3.00E-05,,,,,,,,,,
18,A*,8,0.00095,,,,,,,,,,
18,A*,9,0.00093,,,,,,,,,,
18,A*,10,0.00166,,,,,,,,,,
18,A*,11,0.0004,,,,,,,,,,
18,A*,12,0.00057,,,,,,,,,,
18,A*,13,3.00E-05,,,,,,,,,,
18,A*,14,0.00075,,,,,,,,,,
18,A*,15,0.00097,,,,,,,,,,
18,A*,16,0.00044,,,,,,,,,,
18,A*,17,0.0003,,,,,,,,,,
18,A*,18,0.00175,,,,,,,,,,
18,A*,19,0.0002,,,,,,,,,,
18,A*,20,0.00206,,,,,,,,,,
18,A*,21,0.00167,,,,,,,,,,
18,A*,22,0.00028,,,,,,,,,,
18,A*,23,0.00082,,,,,,,,,,
18,A*,24,0.00063,,,,,,,,,,
18,A*,25,0.00021,,,,,,,,,,
18,A*,26,0.0011,,,,,,,,,,
18,A*,27,0.00017,,,,,,,,,,
18,A*,28,0.0007,,,,,,,,,,
19,A*,3,0.00043,,,,,,,,,,
19,A*,4,0.00088,,,,,,,,,,
19,A*,5,0.00016,,,,,,,,,,
19,A*,6,0.00045,,,,,,,,,,
19,A*,7,0.00368,,,,,,,,,,
19,A*,8,0.00053,,,,,,,,,,
19,A*,9,0.00051,,,,,,,,,,
