Attempt,Algorithm,Length,Time,,,,,,,,,,
1,A*,3,8.00E-05,,,,,,,,,,
1,A*,4,0.00126,,,,,,,,,,
1,A*,5,0.00275,,,Length,A*,BFS,Dijkstra,,A*,BFS,Dijkstra
1,A*,6,0.00012,,,3,100.0%,100.0%,100.0%,,0.00035095,0.00021455,0.0004406
1,A*,7,0.00073,,,4,100.0%,100.0%,100.0%,,0.00256025,0.0029016,0.00842975
1,A*,8,0.01125,,,5,100.0%,100.0%,100.0%,,0.00145005,0.0025333,0.0064172
1,A*,9,0.00314,,,6,100.0%,100.0%,100.0%,,0.00182635,0.00303825,0.0068143
1,A*,10,0.00035,,,7,99.5%,100.0%,100.0%,,0.0016432,0.0027175,0.006987
1,A*,11,0.00128,,,8,99.5%,100.0%,100.0%,,0.002056332,0.0025644,0.00676025
1,A*,12,0.00041,,,9,99.5%,100.0%,100.0%,,0.001782663,0.00294375,0.0072023
1,A*,13,0.00429,,,10,99.5%,100.0%,100.0%,,0.001439146,0.00257895,0.0064328
1,A*,14,0.00162,,,11,99.5%,100.0%,99.5%,,0.001745377,0.00272325,0.00618695
1,A*,15,0.00901,,,12,99.5%,100.0%,99.5%,,0.00182,0.00263255,0.006546482
1,A*,16,0.00266,,,13,99.5%,100.0%,99.5%,,0.001964623,0.00263295,0.005247588
1,A*,17,0.00101,,,14,99.5%,100.0%,99.5%,,0.001888191,0.00240585,0.005884523
1,A*,18,0.00401,,,15,99.0%,100.0%,99.5%,,0.00190201,0.00263175,0.006577337
1,A*,19,0.00365,,,16,98.5%,99.5%,99.5%,,0.001949293,0.0027549,0.006726884
1,A*,20,0.00082,,,17,98.5%,99.5%,99.0%,,0.002228071,0.002832764,0.006486432
1,A*,21,0.0031,,,18,97.5%,99.0%,97.5%,,0.002255838,0.002779246,0.006143939
1,A*,22,0.00088,,,19,97.0%,98.5%,97.5%,,0.002099795,0.002506919,0.005994974
1,A*,23,0.0057,,,20,95.5%,98.0%,96.5%,,0.002041289,0.002335685,0.005573487
1,A*,24,0.00292,,,21,95.5%,97.5%,96.5%,,0.002217539,0.002742245,0.005555492
1,A*,25,0.00351,,,22,94.0%,97.5%,94.0%,,0.001814136,0.002473128,0.006338549
1,A*,26,0.00249,,,23,93.5%,97.0%,92.5%,,0.001793138,0.002672872,0.006398404
1,A*,27,0.0009,,,24,91.5%,97.0%,91.0%,,0.001889893,0.002561495,0.006451081
1,A*,28,0.00057,,,25,90.5%,97.0%,90.0%,,0.002016503,0.002781701,0.005778077
1,A*,29,0.00019,,,26,89.0%,96.0%,89.0%,,0.002001823,0.00314268,0.005242556
1,A*,30,0.00026,,,27,85.0%,95.5%,86.5%,,0.002203708,0.00231349,0.005301348
1,A*,31,0.00061,,,28,83.0%,94.0%,84.0%,,0.002399,0.002496545,0.006134046
1,A*,32,0.00358,,,29,81.0%,93.0%,83.5%,,0.002463012,0.002607394,0.006658214
1,A*,33,0.00012,,,30,78.5%,92.5%,81.0%,,0.002449815,0.002618602,0.005919281
1,A*,34,0.00661,,,31,77.0%,89.5%,78.5%,,0.002543567,0.002710919,0.006478827
1,A*,35,0.00071,,,32,75.0%,85.0%,78.0%,,0.002371558,0.003172905,0.006546178
1,A*,36,0.00087,,,33,72.0%,83.0%,77.0%,,0.002519733,0.002617588,0.006553397
1,A*,37,0.00414,,,34,67.5%,80.0%,75.0%,,0.002463194,0.002681867,0.006742208
1,A*,38,0.00207,,,35,66.5%,78.5%,72.5%,,0.002329111,0.002337938,0.006676067
1,A*,39,0.00034,,,36,63.0%,74.5%,70.5%,,0.00228203,0.002395223,0.00630469
1,A*,40,0.01223,,,37,61.0%,70.5%,67.5%,,0.002484762,0.002854094,0.007453404
1,A*,41,0.00163,,,38,57.0%,66.5%,64.5%,,0.00209918,0.002689787,0.005929259
1,A*,42,0.00041,,,39,56.5%,65.5%,61.0%,,0.002524474,0.002525338,0.007765116
1,A*,43,8.00E-05,,,40,54.0%,64.0%,60.0%,,0.002652566,0.002912977,0.006663279
1,A*,44,0.00045,,,41,48.5%,58.5%,57.5%,,0.002312315,0.003206797,0.005750917
1,A*,45,0.00155,,,42,46.0%,54.0%,53.5%,,0.002489278,0.00241359,0.007072783
1,A*,46,0.00112,,,43,43.5%,50.5%,51.0%,,0.002599348,0.002946944,0.005658879
1,A*,47,0.00132,,,44,40.0%,46.0%,50.0%,,0.002473218,0.00257604,0.00546598
1,A*,48,0.00202,,,45,36.0%,44.0%,43.0%,,0.002175625,0.002759348,0.0056816
1,A*,49,0.00281,,,46,34.0%,39.5%,39.0%,,0.00234375,0.003007841,0.007417326
1,A*,50,0.00034,,,47,31.5%,35.0%,37.5%,,0.001969412,0.002673038,0.006186538
1,A*,51,0.00028,,,48,28.5%,30.0%,34.5%,,0.003553333,0.002515,0.005756667
1,A*,52,0.00011,,,49,27.0%,26.5%,31.0%,,0.002266842,0.0027405,0.005803478
1,A*,53,0.00021,,,50,24.0%,25.0%,30.0%,,0.003162593,0.002783019,0.006457097
1,A*,54,0.00011,,,51,21.5%,24.5%,28.5%,,0.002527083,0.0028594,0.005860167
1,A*,55,0.00413,,,52,17.5%,21.0%,24.0%,,0.002633256,0.003024286,0.005262456
1,A*,56,0.00022,,,53,15.5%,18.5%,21.5%,,0.001799429,0.002190952,0.006157917
2,A*,3,0.00013,,,54,13.0%,15.5%,19.5%,,0.002162903,0.001642432,0.00550093
2,A*,4,0.00072,,,55,11.0%,13.5%,18.5%,,0.002948462,0.002252581,0.005305641
2,A*,5,0.00285,,,56,9.5%,11.0%,17.5%,,0.001983636,0.002727778,0.005669459
2,A*,6,0.00066,,,57,9.0%,10.0%,15.5%,,0.004912105,0.002962727,0.005457429
2,A*,7,0.0003,,,58,7.5%,7.5%,15.0%,,0.002705,0.0013525,0.004304194
2,A*,8,0.00029,,,59,7.5%,7.0%,13.5%,,0.002836,0.001422667,0.004199
2,A*,9,0.00037,,,60,6.5%,6.5%,11.0%,,0.004822667,0.001621429,0.005185556
2,A*,10,0.00066,,,61,6.5%,5.5%,10.0%,,0.003002308,0.002706154,0.003804091
2,A*,11,0.00041,,,62,4.5%,4.5%,9.0%,,0.001579231,0.00124,0.0043625
2,A*,12,0.00317,,,63,3.0%,4.0%,8.0%,,0.002563333,0.002056667,0.007235556
2,A*,13,5.00E-05,,,64,2.5%,3.5%,6.5%,,0.00431,0.0015675,0.004779375
2,A*,14,0.00163,,,65,2.5%,3.5%,6.0%,,0.002586,0.002164286,0.006150769
2,A*,15,0.00289,,,66,2.5%,3.0%,5.0%,,0.001434,0.001841429,0.002865
2,A*,16,0.00084,,,67,2.5%,2.5%,4.0%,,0.002154,0.002176667,0.002916
2,A*,17,0.0004,,,68,2.5%,2.0%,3.0%,,0.001598,0.001088,0.00464
2,A*,18,0.00106,,,69,2.0%,1.5%,2.0%,,0.001448,0.0009525,0.003185
2,A*,19,0.00071,,,70,1.0%,1.5%,1.5%,,0.0010475,0.002696667,0.0038625
2,A*,20,0.00052,,,71,0.5%,1.5%,1.5%,,0.001995,0.002426667,0.0006
2,A*,21,0.00247,,,72,0.5%,1.0%,1.5%,,0.00136,0.000873333,0.00169
2,A*,22,0.00285,,,73,0.5%,1.0%,1.5%,,0.00047,0.001095,0.00311
2,A*,23,0.00298,,,74,0.0%,0.5%,1.5%,,0.00007,0.001115,0.005753333
2,A*,24,0.00049,,,75,0.0%,0.5%,1.0%,,#DIV/0!,0.00095,0.005313333
